GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203903-1626157-1628404-1628973-1629013-,J. Clarkson - K. Towns - J. Hart - J. Brunson - L. Shamet,1610612752,NYK,2,1,1,0.5,2.0,100.0,100.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.5,0.5,90.9,121.26,101.05,4,0.5,140,163,270,351,384,268,108,111,396,258,396,92,441,461,479,259,319,126,291,4750
Lineups,-203903-1626157-1628404-1629013-1630631-,J. Clarkson - K. Towns - J. Hart - L. Shamet - J. Alvarado,1610612752,NYK,1,1,0,1.0,2.0,100.0,100.0,50.0,50.0,50.0,50.0,1.0,2.0,33.3,0.0,1.0,0.667,0.25,0.667,0.667,92.2,92.16,76.8,4,0.75,243,163,1,1,343,268,108,111,1,75,24,331,1,103,479,134,156,487,143,6250
Lineups,-203903-1626157-1628404-1629011-1630631-,J. Clarkson - K. Towns - J. Hart - M. Robinson - J. Alvarado,1610612752,NYK,2,1,1,0.5,2.0,0.0,0.0,150.0,180.0,-150.0,-180.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,134.6,121.12,100.93,4,-0.316,140,163,270,351,373,464,533,570,396,258,396,92,378,259,559,447,464,129,546,5350
Lineups,-203903-1626157-1628969-1630631-1642885-,J. Clarkson - K. Towns - M. Bridges - J. Alvarado - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,170.1,166.7,58.1,57.1,111.9,109.5,1.0,1.5,30.0,0.5,0.75,0.667,0.333,1.125,1.025,125.0,127.35,106.12,6,0.964,243,163,1,1,302,64,138,34,1,125,50,92,237,103,530,14,24,99,94,7350
Lineups,-203903-1626157-1628969-1628973-1630574-,J. Clarkson - K. Towns - M. Bridges - J. Brunson - A. Hukporti,1610612752,NYK,1,1,0,1.0,2.0,103.1,80.0,51.5,50.0,51.5,30.0,0.0,0.0,0.0,0.0,1.0,0.75,0.2,0.5,0.694,98.0,113.68,94.74,5,0.889,243,163,1,1,361,364,108,159,396,258,396,331,1,72,429,259,141,190,107,5700
Lineups,-203903-1626157-1628384-1628404-1629013-,J. Clarkson - K. Towns - O. Anunoby - J. Hart - L. Shamet,1610612752,NYK,1,0,1,0.0,2.0,0.0,0.0,104.2,100.0,-104.2,-100.0,0.0,0.0,0.0,0.5,1.0,0.667,0.25,0.0,0.0,89.3,90.81,75.68,4,2.167,243,442,270,442,367,464,252,506,396,258,396,92,1,103,479,447,464,497,14,5550
Lineups,-203903-1626157-1628384-1629011-1642278-,J. Clarkson - K. Towns - O. Anunoby - M. Robinson - T. Kolek,1610612752,NYK,1,0,1,0.0,2.0,131.6,140.0,63.0,60.0,68.6,80.0,1.0,1.0,28.6,0.0,1.0,1.0,0.4,1.0,1.054,106.3,105.49,87.91,5,2.0,243,442,270,442,323,111,144,73,1,151,55,331,1,1,551,16,18,285,15,6825
Lineups,-203903-1628969-1630574-1642278-1642885-,J. Clarkson - M. Bridges - A. Hukporti - T. Kolek - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,34.7,33.3,200.0,200.0,-165.3,-166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.266,74.0,75.79,63.16,3,-0.8,243,163,1,1,384,454,538,565,396,258,396,331,441,485,530,447,440,575,563,4750
Lineups,-203903-1628969-1629011-1629013-1642278-,J. Clarkson - M. Bridges - M. Robinson - L. Shamet - T. Kolek,1610612752,NYK,1,0,1,0.0,2.0,200.0,160.0,225.0,225.0,-25.0,-65.0,1.0,0.0,44.4,0.0,0.0,0.0,0.0,1.0,1.0,102.9,115.71,96.43,5,0.522,243,442,270,442,363,75,574,473,1,258,8,331,441,485,1,16,27,176,280,5600
Lineups,-203903-1630540-1631110-1641998-1642359-,J. Clarkson - M. McBride - J. Sochan - T. Jemison III - P. Dadiet,1610612752,NYK,1,0,1,0.0,2.0,200.0,200.0,125.0,125.0,75.0,75.0,0.667,2.0,28.6,1.0,1.0,1.0,0.25,1.0,1.0,128.0,128.0,106.67,4,0.704,243,442,270,442,396,16,412,76,200,75,55,1,1,1,479,16,27,96,171,4500
Lineups,-203903-1628384-1628973-1629011-1629013-,J. Clarkson - O. Anunoby - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,3,2,1,0.667,2.0,147.1,160.0,166.7,166.7,-19.6,-6.7,1.0,3.0,37.5,0.0,0.5,0.333,0.2,0.875,0.901,108.9,103.23,86.02,5,0.621,92,81,270,304,366,75,509,355,1,33,19,331,378,414,429,60,57,326,203,5580
Lineups,-203903-1628384-1629013-1630631-1642885-,J. Clarkson - O. Anunoby - L. Shamet - J. Alvarado - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,50.0,50.0,66.7,50.0,-16.7,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.333,0.333,106.1,121.26,101.05,4,0.0,243,163,1,1,384,431,108,249,396,258,396,331,1,259,479,384,412,126,459,4750
Lineups,-203903-1628384-1628969-1630540-1630574-,J. Clarkson - O. Anunoby - M. Bridges - M. McBride - A. Hukporti,1610612752,NYK,2,1,1,0.5,2.0,66.7,50.0,51.0,50.0,15.6,0.0,1.0,0.0,20.0,0.0,1.0,0.6,0.0,0.333,0.333,105.7,119.01,99.17,4,0.667,140,163,270,351,348,431,108,249,1,258,161,331,1,167,1,384,412,153,181,6050
Lineups,-1628404-1628973-1629013-1630574-1642278-,J. Hart - J. Brunson - L. Shamet - A. Hukporti - T. Kolek,1610612752,NYK,1,1,0,1.0,2.0,0.0,0.0,75.0,60.0,-75.0,-60.0,0.0,0.0,0.0,0.25,1.0,0.571,0.25,0.0,0.0,79.4,89.38,74.48,4,-7.0,243,163,1,1,306,464,144,467,396,258,396,270,1,198,479,447,464,518,593,7250
Lineups,-1628404-1628973-1629011-1630540-1642885-,J. Hart - J. Brunson - M. Robinson - M. McBride - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,202.7,225.0,103.1,100.0,99.6,125.0,1.0,0.0,42.9,0.0,0.5,0.333,0.0,1.0,1.014,110.9,106.67,88.89,4,0.846,243,163,1,1,371,13,252,22,1,258,9,331,378,414,1,16,25,266,116,5400
Lineups,-1628404-1628973-1629011-1642278-1642885-,J. Hart - J. Brunson - M. Robinson - T. Kolek - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,66.7,66.7,180.4,175.0,-113.7,-108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.5,93.5,95.09,79.25,3,-0.125,243,163,1,1,375,394,523,540,396,258,396,331,441,485,530,259,319,452,531,5300
Lineups,-1628404-1628969-1628973-1629011-1630631-,J. Hart - M. Bridges - J. Brunson - M. Robinson - J. Alvarado,1610612752,NYK,1,1,0,1.0,2.0,0.0,0.0,29.1,25.0,-29.1,-25.0,0.0,0.0,0.0,0.0,0.75,0.429,0.25,0.0,0.0,107.1,115.2,96.0,4,0.714,243,163,1,1,380,464,91,404,396,258,396,331,237,379,479,447,464,181,163,5000
Lineups,-1628404-1628969-1629011-1629013-1630540-,J. Hart - M. Bridges - M. Robinson - L. Shamet - M. McBride,1610612752,NYK,2,1,1,0.5,2.0,84.0,66.7,74.0,71.4,10.1,-4.8,1.0,1.0,14.3,0.0,1.0,0.5,0.167,0.75,0.532,147.3,166.25,138.54,6,0.0,140,163,270,351,362,394,174,348,1,151,301,331,1,259,393,98,297,56,459,5630
Lineups,-1628404-1628969-1629011-1629013-1642278-,J. Hart - M. Bridges - M. Robinson - L. Shamet - T. Kolek,1610612752,NYK,1,1,0,1.0,2.0,125.0,100.0,100.0,100.0,25.0,0.0,1.0,0.0,28.6,0.0,1.0,0.5,0.0,0.625,0.625,78.4,88.16,73.47,5,0.5,243,163,1,1,302,268,252,249,1,258,55,331,1,259,1,165,199,529,291,7350
Lineups,-1626157-1627824-1628404-1628973-1630540-,K. Towns - G. Yabusele - J. Hart - J. Brunson - M. McBride,1610612752,NYK,1,1,0,1.0,2.0,200.0,200.0,100.0,66.7,100.0,133.3,0.5,0.0,25.0,1.0,1.0,1.0,0.0,0.667,0.667,61.9,77.42,64.52,2,0.833,243,163,1,1,389,16,158,19,283,258,86,1,1,1,1,134,156,573,118,4650
Lineups,-1626157-1627824-1628384-1629013-1630540-,K. Towns - G. Yabusele - O. Anunoby - L. Shamet - M. McBride,1610612752,NYK,1,0,1,0.0,2.0,200.0,200.0,50.0,40.0,150.0,160.0,0.75,0.0,33.3,0.5,1.0,0.75,0.0,0.833,0.833,91.3,101.41,84.51,5,1.074,243,442,270,442,312,16,97,9,163,258,24,92,1,72,1,72,79,357,51,7100
Lineups,-1626157-1627824-1628384-1628969-1628973-,K. Towns - G. Yabusele - O. Anunoby - M. Bridges - J. Brunson,1610612752,NYK,1,1,0,1.0,2.0,34.0,33.3,100.0,100.0,-66.0,-66.7,0.0,0.0,0.0,0.0,0.8,0.5,0.333,0.0,0.258,130.6,131.83,109.86,6,0.067,243,163,1,1,312,454,252,476,396,258,396,331,203,259,530,447,441,87,455,7100
Lineups,-1626157-1628404-1628973-1629013-1642885-,K. Towns - J. Hart - J. Brunson - L. Shamet - M. Diawara,1610612752,NYK,2,2,0,1.0,2.0,180.0,150.0,60.0,42.9,120.0,107.1,0.75,0.0,33.3,0.0,1.0,0.6,0.0,0.9,0.9,105.1,136.64,113.87,6,0.929,140,81,1,1,322,90,102,37,163,258,24,331,1,167,1,54,59,80,102,6850
Lineups,-1626157-1628404-1628969-1630631-1631110-,K. Towns - J. Hart - M. Bridges - J. Alvarado - J. Sochan,1610612752,NYK,1,0,1,0.0,2.0,40.0,33.3,131.6,140.0,-91.6,-106.7,1.0,0.5,14.3,0.0,0.5,0.25,0.333,0.333,0.333,99.7,106.31,88.59,6,-0.25,243,442,270,442,298,454,467,539,1,229,301,331,378,461,530,384,412,271,541,7450
Lineups,-1626157-1628404-1628969-1630631-1642885-,K. Towns - J. Hart - M. Bridges - J. Alvarado - M. Diawara,1610612752,NYK,2,2,0,1.0,2.0,50.0,40.0,75.0,60.0,-25.0,-20.0,0.0,0.0,0.0,0.5,1.0,0.714,0.2,0.2,0.2,96.8,121.01,100.84,5,0.0,140,81,1,1,351,446,144,392,396,258,396,92,1,91,429,433,451,130,459,5950
Lineups,-1626157-1628404-1628969-1628973-1642885-,K. Towns - J. Hart - M. Bridges - J. Brunson - M. Diawara,1610612752,NYK,3,3,0,1.0,2.0,180.4,140.0,20.5,20.0,159.9,120.0,0.5,1.0,16.7,0.0,0.75,0.75,0.2,1.25,1.215,91.4,104.35,86.96,5,2.0,92,55,1,1,319,111,90,25,283,151,243,331,237,72,429,8,10,306,15,6900
Lineups,-1626157-1628404-1629011-1629013-1630631-,K. Towns - J. Hart - M. Robinson - L. Shamet - J. Alvarado,1610612752,NYK,1,1,0,1.0,2.0,100.0,66.7,233.3,233.3,-133.3,-166.7,1.0,0.0,16.7,0.667,0.0,0.667,0.0,0.25,0.25,69.2,83.08,69.23,3,0.095,243,163,1,1,377,394,576,565,1,258,243,55,441,103,1,416,443,557,449,5200
Lineups,-1626157-1628969-1628973-1630631-1642885-,K. Towns - M. Bridges - J. Brunson - J. Alvarado - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,175.0,175.0,50.0,40.0,125.0,135.0,0.667,0.0,33.3,0.0,0.667,0.5,0.0,0.875,0.875,89.3,100.47,83.72,4,0.957,243,163,1,1,335,58,97,18,200,258,24,331,296,259,1,60,64,376,95,6450
Lineups,-1626157-1628969-1629011-1630540-1630631-,K. Towns - M. Bridges - M. Robinson - M. McBride - J. Alvarado,1610612752,NYK,1,0,1,0.0,2.0,100.0,100.0,150.6,166.7,-50.6,-66.7,1.0,1.0,20.0,0.5,1.0,0.667,0.333,0.5,0.5,100.0,94.95,79.12,3,0.091,243,442,270,442,395,268,509,476,1,151,161,92,1,103,530,259,319,456,451,4550
Lineups,-1626157-1628384-1628404-1628973-1629011-,K. Towns - O. Anunoby - J. Hart - J. Brunson - M. Robinson,1610612752,NYK,2,1,1,0.5,2.0,80.0,80.0,154.6,120.0,-74.6,-40.0,0.5,0.5,16.7,0.0,0.0,0.0,0.4,0.667,0.667,99.1,111.63,93.02,5,0.211,140,163,270,351,335,364,398,430,283,229,243,331,441,485,551,134,156,210,425,6450
