GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203903-1626157-1628384-1628404-1628973-,J. Clarkson - K. Towns - O. Anunoby - J. Hart - J. Brunson,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,300.0,300.0,-300.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,77.84,64.86,1,0.0,48,41,1,1,93,87,108,110,76,51,76,64,87,93,1,85,87,106,91,1850
Lineups,-203903-1626157-1628384-1628969-1628973-,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - J. Brunson,1610612752,NYK,1,1,0,1.0,1.0,200.0,200.0,0.0,0.0,200.0,200.0,0.5,0.0,33.3,0.0,0.667,0.667,0.0,1.0,1.0,99.8,124.78,103.99,2,1.444,48,41,1,1,82,3,1,1,49,51,2,64,60,27,1,2,4,24,7,2885
Lineups,-203903-1629013-1630574-1642278-1642359-,J. Clarkson - L. Shamet - A. Hukporti - T. Kolek - P. Dadiet,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,69.4,66.7,-69.4,-66.7,0.0,0.0,0.0,0.0,1.0,0.667,0.5,0.0,0.0,127.8,130.91,109.09,2,0.0,48,41,1,1,84,87,32,94,76,51,76,64,1,27,106,85,87,21,91,2750
Lineups,-203903-1629011-1629013-1630540-1630631-,J. Clarkson - M. Robinson - L. Shamet - M. McBride - J. Alvarado,1610612752,NYK,1,1,0,1.0,1.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,57.6,86.4,72.0,1,2.0,48,41,1,1,88,3,1,1,76,51,76,64,1,1,1,2,4,98,2,2500
Lineups,-203903-1628384-1628973-1630540-1631110-,J. Clarkson - O. Anunoby - J. Brunson - M. McBride - J. Sochan,1610612752,NYK,1,1,0,1.0,1.0,100.0,100.0,300.0,300.0,-200.0,-200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,92.5,92.51,77.09,2,0.2,48,41,1,1,91,55,108,106,76,51,76,1,87,1,1,56,67,92,83,2335
Lineups,-1628404-1628969-1628973-1629013-1630574-,J. Hart - M. Bridges - J. Brunson - L. Shamet - A. Hukporti,1610612752,NYK,1,1,0,1.0,1.0,100.0,66.7,250.0,250.0,-150.0,-183.3,0.0,0.0,0.0,0.667,0.0,0.5,0.0,0.25,0.25,73.8,92.31,76.92,3,0.0,48,41,1,1,78,78,107,105,76,51,76,11,87,57,1,83,85,93,91,3900
Lineups,-1628404-1628969-1629011-1629013-1630631-,J. Hart - M. Bridges - M. Robinson - L. Shamet - J. Alvarado,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,25.7,51.43,42.86,1,0.0,48,41,1,1,83,87,1,63,76,51,76,64,75,57,1,85,87,110,91,2800
Lineups,-1628404-1628969-1629011-1630540-1630631-,J. Hart - M. Bridges - M. Robinson - M. McBride - J. Alvarado,1610612752,NYK,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,110.8,138.46,115.38,3,0.333,48,102,84,102,87,87,1,63,76,51,76,64,1,84,1,85,87,16,77,2600
Lineups,-1626157-1628969-1628973-1629011-1629013-,K. Towns - M. Bridges - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,212.8,200.0,-212.8,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.9,122.55,102.13,2,-1.0,48,41,1,1,90,87,104,106,76,51,76,64,87,93,1,85,87,27,107,2350
Lineups,-1626157-1628969-1629013-1630540-1630631-,K. Towns - M. Bridges - L. Shamet - M. McBride - J. Alvarado,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,87.3,130.91,109.09,1,0.0,48,41,1,1,94,87,1,63,76,51,76,64,1,57,1,85,87,20,91,1650
